wlr_output_layer, feedback, wlr_output_layer_feedback_event
wlr_output_layout, add, wlr_output_layout_output
wlr_output_layout, change, wlr_output_layout
wlr_output_layout, destroy, wlr_output_layout
wlr_output_layout_output, destroy, wlr_output_layout_output
wlr_output_manager_v1, apply, wlr_output_configuration_v1
wlr_output_manager_v1, destroy, wlr_output_manager_v1
wlr_output_manager_v1, test, wlr_output_configuration_v1
wlr_output_power_manager_v1, destroy, wlr_output_power_manager_v1
wlr_output_power_manager_v1, set_mode, wlr_output_power_v1_set_mode_event
wlr_pointer, axis, wlr_pointer_axis_event
wlr_pointer, button, wlr_pointer_button_event
wlr_pointer, frame, wlr_pointer
wlr_pointer, hold_begin, wlr_pointer_hold_begin_event
wlr_pointer, hold_end, wlr_pointer_hold_end_event
wlr_pointer, motion, wlr_pointer_motion_event
wlr_pointer, motion_absolute, wlr_pointer_motion_absolute_event
wlr_pointer, pinch_begin, wlr_pointer_pinch_begin_event
wlr_pointer, pinch_end, wlr_pointer_pinch_end_event
wlr_pointer, pinch_update, wlr_pointer_pinch_update_event
wlr_pointer, swipe_begin, wlr_pointer_swipe_begin_event
wlr_pointer, swipe_end, wlr_pointer_swipe_end_event
wlr_pointer, swipe_update, wlr_pointer_swipe_update_event
wlr_pointer_constraint_v1, destroy, wlr_pointer_constraint_v1
wlr_pointer_constraint_v1, set_region, nullptr_t
wlr_pointer_constraints_v1, destroy, nullptr_t
wlr_pointer_constraints_v1, new_constraint, wlr_pointer_constraint_v1
wlr_pointer_gestures_v1, destroy, nullptr_t
wlr_presentation, destroy, wlr_presentation
wlr_primary_selection_source, destroy, wlr_primary_selection_source
wlr_primary_selection_v1_device_manager, destroy, wlr_primary_selection_v1_device_manager
wlr_relative_pointer_manager_v1, destroy, wlr_relative_pointer_manager_v1
wlr_relative_pointer_manager_v1, new_relative_pointer, wlr_relative_pointer_v1
wlr_relative_pointer_v1, destroy, wlr_relative_pointer_v1
wlr_renderer, destroy, wlr_renderer
wlr_renderer, lost, nullptr_t
wlr_scene_buffer, frame_done, timespec
wlr_scene_buffer, output_enter, wlr_scene_output
wlr_scene_buffer, output_leave, wlr_scene_output
wlr_scene_buffer, output_sample, wlr_scene_output_sample_event
wlr_scene_buffer, outputs_update, wlr_scene_outputs_update_event
wlr_scene_node, destroy, nullptr_t
wlr_scene_output, destroy, nullptr_t
wlr_screencopy_manager_v1, destroy, wlr_screencopy_manager_v1
wlr_seat, destroy, wlr_seat
wlr_seat, keyboard_grab_begin, wlr_seat_keyboard_grab
wlr_seat, keyboard_grab_end, wlr_seat_keyboard_grab
wlr_seat, pointer_grab_begin, wlr_seat_pointer_grab
wlr_seat, pointer_grab_end, wlr_seat_pointer_grab
wlr_seat, request_set_cursor, wlr_seat_pointer_request_set_cursor_event
wlr_seat, request_set_primary_selection, wlr_seat_request_set_primary_selection_event
wlr_seat, request_set_selection, wlr_seat_request_set_selection_event
wlr_seat, request_start_drag, wlr_seat_request_start_drag_event
wlr_seat, set_primary_selection, wlr_seat
wlr_seat, set_selection, wlr_seat
wlr_seat, start_drag, wlr_drag
wlr_seat, touch_grab_begin, wlr_seat_touch_grab
wlr_seat, touch_grab_end, wlr_seat_touch_grab
wlr_seat_client, destroy, wlr_seat_client
wlr_seat_keyboard_state, focus_change, wlr_seat_keyboard_focus_change_event
wlr_seat_pointer_state, focus_change, wlr_seat_pointer_focus_change_event
wlr_security_context_manager_v1, commit, wlr_security_context_v1_commit_event
wlr_security_context_manager_v1, destroy, wlr_security_context_manager_v1
wlr_server_decoration, destroy, wlr_server_decoration
wlr_server_decoration, mode, wlr_server_decoration
